time,data
100.3,20.98654403
100.4,21.00885217
100.5,21.03116145
100.6,21.05347161
100.7,21.07578177
100.8,21.0980911
100.9,21.12039932
101,21.14270697
101.1,21.16501497
101.2,21.18732395
101.3,21.20963388
101.4,21.23194403
101.5,21.25425356
101.6,21.27656205
101.7,21.29886983
101.8,21.32117773
101.9,21.34348646
102,21.36579614
102.1,21.38810623
102.2,21.4104159
102.3,21.43272464
102.4,21.4550326
102.5,21.47734046
102.6,21.49964897
102.7,21.5219584
102.8,21.54426838
102.9,21.56657814
103,21.58888711
103.1,21.61119525
103.2,21.63350312
103.3,21.65581146
103.4,21.67812065
103.5,21.70043049
103.6,21.7227403
103.7,21.74504945
103.8,21.76735779
103.9,21.78966572
104,21.81197393
104.1,21.8342829
104.2,21.85659257
104.3,21.87890237
104.4,21.90121168
104.5,21.92352022
104.6,21.94582824
104.7,21.96813637
104.8,21.99044514
104.9,22.01275462
105,22.03506439
105.1,22.05737381
105.2,22.07968253
105.3,22.10199067
105.4,22.12429876
105.5,22.14660737
105.6,22.16891666
105.7,22.19122634
105.8,22.21353584
105.9,22.23584473
106,22.258153
106.1,22.2804611
106.2,22.30276957
106.3,22.32507868
106.4,22.34738825
106.5,22.36969779
106.6,22.39200682
106.7,22.41431524
106.8,22.43662337
106.9,22.45893173
107,22.48124067
107.1,22.50355013
107.2,22.52585966
107.3,22.54816881
107.4,22.57047737
107.5,22.59278557
107.6,22.61509386
107.7,22.63740265
107.8,22.65971196
107.9,22.68202147
108,22.7043307
108.1,22.7266394
108.2,22.74894768
108.3,22.77125594
108.4,22.7935646
108.5,22.81587377
108.6,22.83818322
108.7,22.86049251
108.8,22.88280133
108.9,22.90510971
109,22.92741796
109.1,22.94972651
109.2,22.97203554
109.3,22.99434491
109.4,23.01665424
109.5,23.03896317
109.6,23.06127164
109.7,23.08357992
109.8,23.10588839
109.9,23.12819729
110,23.15050657
110.1,23.17281589
110.2,23.19512491
110.3,23.21743349
110.4,23.23974181
110.5,23.26205022
110.6,23.284359
110.7,23.30666817
110.8,23.32897748
110.9,23.35128656
111,23.37359525
111.1,23.39590362
111.2,23.41821199
111.3,23.44052067
111.4,23.46282974
111.5,23.485139
111.6,23.50744814
111.7,23.52975691
111.8,23.55206535
111.9,23.57437372
112,23.59668231
112.1,23.61899127
112.2,23.64130048
112.3,23.66360963
112.4,23.68591848
112.5,23.708227
112.6,23.73053537
112.7,23.7528439
112.8,23.77515276
112.9,23.7974619
113,23.81977105
113.1,23.84207997
113.2,23.86438856
113.3,23.88669696
113.4,23.90900544
113.5,23.93131421
113.6,23.95362327
113.7,23.97593241
113.8,23.99824138
113.9,24.02055004
114,24.04285848
114.1,24.06516693
114.2,24.08747562
114.3,24.10978459
114.4,24.1320937
114.5,24.15440271
114.6,24.17671144
114.7,24.19901992
114.8,24.22132836
114.9,24.24363698
115,24.26594587
115.1,24.28825494
115.2,24.31056396
115.3,24.33287275
115.4,24.35518129
115.5,24.37748973
115.6,24.39979829
115.7,24.42210711
115.8,24.44441612
115.9,24.46672515
116,24.48903398
116.1,24.51134257
116.2,24.53365103
116.3,24.55595955
116.4,24.5782683
116.5,24.60057725
116.6,24.62288626
116.7,24.64519514
116.8,24.66750378
116.9,24.68981226
117,24.71212076
117.1,24.73442944
117.2,24.75673833
117.3,24.77904732
117.4,24.80135622
117.5,24.82366491
117.6,24.84597342
117.7,24.8682819
117.8,24.89059053
117.9,24.91289936
118,24.93520831
118.1,24.95751723
118.2,24.97982596
118.3,25.00213451
118.4,25.02444299
118.5,25.04675157
118.6,25.06906033
118.7,25.09136925
118.8,25.11367816
118.9,25.13598693
119,25.15829552
119.1,25.18060401
119.2,25.20291255
119.3,25.22522126
119.4,25.24753013
119.5,25.26983904
119.6,25.29214783
119.7,25.31445645
119.8,25.33676496
119.9,25.35907348
120,25.38138214
120.1,25.40369096
120.2,25.42599984
120.3,25.44830866
120.4,25.47061731
120.5,25.49292584
120.6,25.51523434
120.7,25.53754296
120.8,25.55985173
120.9,25.58216059
121,25.60446942
121.1,25.6267781
121.2,25.64908665
121.3,25.67139515
121.4,25.69370373
121.5,25.71601245
121.6,25.73832128
121.7,25.7606301
121.8,25.78293881
121.9,25.80524739
122,25.82755589
122.1,25.84986444
122.2,25.87217312
122.3,25.89448191
122.4,25.91679073
122.5,25.93909946
122.6,25.96140805
122.7,25.98371656
122.8,26.00602509
122.9,26.02833373
123,26.05064249
123.1,26.07295129
123.2,26.09526003
123.3,26.11756865
123.4,26.13987717
123.5,26.16218569
123.6,26.18449429
123.7,26.206803
123.8,26.22911178
123.9,26.25142053
124,26.27372917
124.1,26.29603771
124.2,26.31834622
124.3,26.34065479
124.4,26.36296346
124.5,26.38527222
124.6,26.40758096
124.7,26.42988962
124.8,26.45219818
124.9,26.47450668
125,26.49681523
125.1,26.51912387
125.2,26.54143259
125.3,26.56374133
125.4,26.58605
125.5,26.60835858
125.6,26.63066708
125.7,26.65297561
125.8,26.67528422
125.9,26.69759291
126,26.71990164
126.1,26.74221032
126.2,26.7645189
126.3,26.78682742
126.4,26.80913593
126.5,26.83144451
126.6,26.85375317
126.7,26.87606188
126.8,26.89837056
126.9,26.92067916
127,26.94298769
127.1,26.96529619
127.2,26.98760474
127.3,27.00991337
127.4,27.03222206
127.5,27.05453074
127.6,27.07683935
127.7,27.09914789
127.8,27.12145639
127.9,27.14376492
128,27.16607352
128.1,27.18838218
128.2,27.21069086
128.3,27.23299947
128.4,27.25530802
128.5,27.27761652
128.6,27.29992503
128.7,27.3222336
128.8,27.34454224
128.9,27.3668509
129,27.38915953
129.1,27.41146808
129.2,27.43377658
129.3,27.45608508
129.4,27.47839363
129.5,27.50070225
129.6,27.52301089
129.7,27.54531951
129.8,27.56762808
129.9,27.58993658
130,27.61224507
130.1,27.6345536
130.2,27.65686219
