time,distur_data,data
626.7,-415.1906145,80.00808809
626.8,1891.342307,80.00811919
626.9,-2209.847517,80.00802606
627,-907.2172716,80.00808854
627.1,2399.316508,80.00815673
627.2,-4687.449317,80.00801126
627.3,-1960.675524,80.00813095
627.4,-3073.532939,80.00823512
627.5,3131.894371,80.00831937
627.6,-2251.313286,80.007996
627.7,2177.609702,80.00780825
627.8,-913.7353049,80.00761967
627.9,2850.730227,80.00774259
628,2222.929172,80.00786697
628.1,770.5913837,80.00795372
628.2,1329.38573,80.0080041
628.3,2985.958396,80.00793605
628.4,-4997.246508,80.00770723
628.5,1277.947541,80.00788838
628.6,-1535.686407,80.00796427
628.7,-281.4349929,80.00805793
628.8,-77.92609049,80.00801334
628.9,296.1971496,80.00785397
629,-1814.507096,80.00766797
629.1,3579.245554,80.00768898
629.2,-3619.980281,80.00760179
629.3,-1008.575645,80.00786362
629.4,-1130.870211,80.00809937
629.5,3464.363738,80.00816187
629.6,-4438.652419,80.00776966
629.7,-431.2098936,80.00763351
629.8,2655.317722,80.00758545
629.9,-2075.050919,80.00752082
630,4619.206283,80.00774194
630.1,4999.99946,80.00771157
630.2,4990.921412,80.00747046
630.3,2416.165754,80.00718276
630.4,-1502.173746,80.00716765
630.5,2965.846969,80.00759877
630.6,-3009.995398,80.00789653
630.7,1007.343859,80.00817243
630.8,428.2451912,80.00797569
630.9,-2483.071567,80.00749293
631,-2983.83077,80.00719843
631.1,756.2407086,80.0072895
631.2,137.5901118,80.0074894
631.3,2477.008401,80.00770016
631.4,1080.19851,80.00763898
631.5,4896.351788,80.00742738
631.6,2984.503348,80.0069982
631.7,547.7757312,80.00676069
631.8,-3533.28553,80.0069712
631.9,-3929.896005,80.00764865
632,237.8451243,80.00828859
632.1,-2536.995522,80.00821466
632.2,716.2696289,80.0076483
632.3,-1656.346338,80.00680089
632.4,1787.094286,80.00640242
632.5,-4306.333884,80.00652205
632.6,3446.40701,80.00738937
632.7,3762.618,80.0079392
632.8,-1679.273279,80.00781457
632.9,-3545.996267,80.00738419
633,2440.746053,80.00700613
633.1,1618.910444,80.00661694
633.2,-972.163368,80.0065586
633.3,850.2739649,80.00698198
633.4,554.5273496,80.00746108
633.5,-58.83590088,80.00767488
633.6,1145.013881,80.00749719
633.7,4248.297689,80.00698339
633.8,1139.26125,80.00633605
633.9,-2436.163704,80.00617481
634,-4603.367219,80.00675157
634.1,1207.141958,80.00772382
634.2,-1565.107296,80.00808184
634.3,-4758.332008,80.00775504
634.4,-3286.0649,80.00712338
634.5,1107.231419,80.00653484
634.6,-761.5467141,80.00618202
634.7,684.3757796,80.00642728
634.8,2303.727002,80.00699843
634.9,-1260.269147,80.00741152
635,-1343.561446,80.00756805
635.1,-1237.230555,80.00734131
635.2,-4133.942336,80.00688858
635.3,831.1525946,80.00667875
635.4,-818.3430675,80.00658239
635.5,-3891.934752,80.00678079
635.6,-1747.375995,80.00727786
635.7,1851.647518,80.0075946
635.8,639.8357058,80.00734659
635.9,3718.707598,80.00680657
636,318.6020932,80.00619546
636.1,4745.380045,80.00613594
636.2,-4397.58711,80.00640974
636.3,-246.5579031,80.0073112
636.4,-3898.677825,80.00792605
636.5,4921.788252,80.00804227
636.6,495.1500592,80.00711504
636.7,1987.04542,80.00609443
636.8,-3727.628379,80.00559057
636.9,-250.1580609,80.00624528
637,-4406.529953,80.00736285
637.1,-548.9272464,80.0083864
